sessionID,series,onset_ms,adj,no adj,Transcription
s028,6,adjective,0,1,small 'p'
s028,7,adjective,0,1,big 'D'
s028,8,930,0,1,think its 'a'
s028,9,1166,0,1,em 'x'…pink 'x'
s028,10,adjective,0,1,small 'h'
s028,11,adjective,0,1,small 't'
s028,12,adjective,0,1,big 'L'/'M'
s029,1,1438,0,1,the 'b'
s029,2,991,0,1,the 's'  (difficult to find start)
s029,3,1004,0,1,the 'a'
s029,4,891,0,1,the 'j'
s029,5,905,0,1,the 'p'
s029,6,1133,0,1,the 'k'
s029,7,978,0,1,the 'o' (difficult to get exact onset)
s029,8,879,0,1,f'
s029,9,1213,0,1,the 'h'
s029,10,819,0,1,the 'I'
s029,11,1112,0,1,the 't'
s029,12,1050,0,1,the 'z'
s030,1,1169,0,1,T'…again
s030,2,2210,0,1,ehhh 'y'
s030,3,2241,0,1,f'
s030,4,2218,0,1,ehhhh 's'
s030,5,2850,0,1,ehhhh 'k' (hard to get exact start)
s030,6,1044,0,1,o'
s030,7,1941,0,1,ehhhh 'e'
s030,8,2188,0,1,ehhhh 'I'
s030,9,1166,0,1,c'
s030,10,1990,0,1,think it's 'u'? Sounds like 'guuuuuuuu'
s030,11,3333,0,1,L'
s030,12,1161,0,1,zzzzzzz …z' onset of the zzzzzzz listed
s031,1,1737,0,1,y'
s031,2,1959,0,1,u' (hard to get exact start)
s031,3,1598,0,1,o'
s031,4,1785,0,1,k'
s031,5,1853,0,1,v' (difficult to find onset)
s031,6,1959,0,1,b'
s031,7,2411,0,1,e'
s031,8,2202,0,1,s'
s031,9,1447,0,1,q'
s031,10,1726,0,1,x'
s031,11,1838,0,1,f'
s031,12,1797,0,1,z'
s032,1,1051,0,1,e'
s032,2,adjective,0,1,small 'k'
s032,3,865,0,1,h' (difficult to get exact start)
s032,4,1078,0,1,d'
s032,5,683,0,1,c'
s032,6,821,0,1,b'
s032,7,bad trial,0,1,bad trail
s032,8,980,0,1,f'
s032,9,983,0,1,x'
s032,10,943,0,1,z'
s032,11,1192,0,1,o'
s032,12,1365,0,1,p'
s033,1,991,0,1,p' (hard to read)
s033,2,966,0,1,q'
s033,3,1221,0,1,v'
s033,4,1199,0,1,h'
s033,5,1230,0,1,t'
s033,6,1106,0,1,s'
s033,7,1155,0,1,w'
s033,8,1320,0,1,d'/'e'
s033,9,1325,0,1,u'
s033,10,1182,0,1,k'
s033,11,1225,0,1,j'
s033,12,1374,0,1,c'
s034,1,1357,0,1,the 'd'
s034,2,2151,0,1,the 'h'
s034,3,1260,0,1,the 'e'
s034,4,1006,0,1,the 'I'
s034,5,949,0,1,a'
s034,6,843,0,1,t'
s034,7,1112,0,1,the 'o'
s034,8,1121,0,1,x'
s034,9,1133,0,1,the something… cant make out letter!
s034,10,1359,0,1,s'
s034,11,1150,0,1,y'
s034,12,945,0,1,q'
s035,1,adjective,0,1,large 'v'
s035,2,adjective,0,1,large 'k'
s035,3,adjective,0,1,large 'L'
s035,4,adjective,0,1,large 'J'
s035,5,adjective,0,1,large 'A'
s035,6,adjective,0,1,small 'e'
s035,7,adjective,0,1,small 'q'
s035,8,adjective,0,1,large 'C'
s035,9,adjective,0,1,small 'z'
s035,10,adjective,0,1,large 'F'
s035,11,adjective,0,1,small 'd'
s035,12,adjective,0,1,small 'r'
