SessionID,Series,Adj,Corr
23,23,1,0
27,23,1,0
17,1,0,0
17,3,0,0
18,1,0,0
18,2,0,0
18,3,0,0
18,4,0,0
18,5,0,0
18,6,0,0
18,7,0,0
18,8,0,0
18,9,0,0
18,10,0,0
18,11,0,0
18,12,0,0
19,7,0,0
21,1,0,0
21,6,0,0
21,10,0,0
22,4,0,0
22,6,0,0
22,9,0,0
22,11,0,0
22,12,0,0
25,8,0,0
28,1,0,0
28,2,0,0
28,3,0,0
28,4,0,0
28,5,0,0
28,6,0,0
28,7,0,0
28,10,0,0
28,11,0,0
28,12,0,0
32,2,0,0
32,7,0,0
35,1,0,0
35,2,0,0
35,3,0,0
35,4,0,0
35,5,0,0
35,6,0,0
35,7,0,0
35,8,0,0
35,9,0,0
35,10,0,0
35,11,0,0
35,12,0,0
