sessionID,series,onset_ms,adj,Transcription
s030,6,1044,0,o'
s030,7,1941,0,ehhhh 'e'
s030,8,2188,0,ehhhh 'I'
s030,9,1166,0,c'
s030,10,1990,0,think it's 'u'? Sounds like 'guuuuuuuu'
s030,11,3333,0,L'
s030,12,1161,0,zzzzzzz ﾅz' onset of the zzzzzzz listed
s031,1,1737,0,y'
s031,2,1959,0,u' (hard to get exact start)
s031,3,1598,0,o'
s031,4,1785,0,k'
s031,5,1853,0,v' (difficult to find onset)
s031,6,1959,0,b'
s031,7,2411,0,e'
s031,8,2202,0,s'
s031,9,1447,0,q'
s031,10,1726,0,x'
s031,11,1838,0,f'
s031,12,1797,0,z'
s032,1,1051,0,e'
s032,2,,1,small 'k'
s032,3,865,0,h' (difficult to get exact start)
s032,4,1078,0,d'
s032,5,683,0,c'
s032,6,821,0,b'
s032,7,,0,bad trail
s032,8,980,0,f'
s032,9,983,0,x'
s032,10,943,0,z'
s032,11,1192,0,o'
s032,12,1365,0,p'
s033,1,991,0,p' (hard to read)
s033,2,966,0,q'
s033,3,1221,0,v'
s033,4,1199,0,h'
s033,5,1230,0,t'
s033,6,1106,0,s'
s033,7,1155,0,w'
s033,8,1320,0,d'/'e'
s033,9,1325,0,u'
s033,10,1182,0,k'
s033,11,1225,0,j'
s033,12,1374,0,c'
s034,1,1357,0,the 'd'
s034,2,2151,0,the 'h'
s034,3,1260,0,the 'e'
s034,4,1006,0,the 'I'
s034,5,949,0,a'
s034,6,843,0,t'
s034,7,1112,0,the 'o'
s034,8,1121,0,x'
s034,9,1133,0,the somethingﾅ cant make out letter!
s034,10,1359,0,s'
s034,11,1150,0,y'
s034,12,945,0,q'
s035,1,,1,large 'v'
s035,2,,1,large 'k'
s035,3,,1,large 'L'
s035,4,,1,large 'J'
s035,5,,1,large 'A'
s035,6,,1,small 'e'
s035,7,,1,small 'q'
s035,8,,1,large 'C'
s035,9,,1,small 'z'
s035,10,,1,large 'F'
s035,11,,1,small 'd'
s035,12,,1,small 'r'
